time,local_date,pm10,pm25,no2,o3,so2,co_conc,sensor_id
0,2023-10-02T00:00:00+00:00,18.758041,12.293768,20.190819,38.06646,1.5097612,327.62128,4878
1,2023-10-02T01:00:00+00:00,20.0089,14.10432,17.02636,35.416756,1.3496901,322.91296,4878
2,2023-10-02T02:00:00+00:00,18.265388,13.072213,20.420254,30.504648,1.3897079,330.1254,4878
3,2023-10-02T03:00:00+00:00,19.878523,13.652828,22.912271,31.08068,1.1459633,324.03317,4878
4,2023-10-02T04:00:00+00:00,20.238182,13.929544,27.641483,24.109219,1.1823431,322.73056,4878
5,2023-10-02T05:00:00+00:00,22.94981,14.200303,35.06281,12.760296,1.4315447,352.35657,4878
6,2023-10-02T06:00:00+00:00,22.905746,14.252684,43.462753,0.027164727,1.7607818,377.773,4878
7,2023-10-02T07:00:00+00:00,29.981194,16.207636,48.555733,0.44291204,1.6661943,429.06622,4878
8,2023-10-02T08:00:00+00:00,25.508247,18.064949,47.73335,8.945902,1.3533281,410.59857,4878
9,2023-10-02T09:00:00+00:00,27.396948,18.529963,43.094654,21.052721,3.7252903,393.2437,4878
10,2023-10-02T10:00:00+00:00,27.854462,18.999401,32.689724,33.082882,7.043127,371.38092,4878
11,2023-10-02T11:00:00+00:00,25.482426,18.365574,25.711775,48.69048,4.831236,355.9706,4878
12,2023-10-02T12:00:00+00:00,23.084862,15.604828,21.029474,62.591057,3.8562574,346.6609,4878
13,2023-10-02T13:00:00+00:00,30.83586,18.597946,20.425577,72.611946,4.496542,349.02423,4878
14,2023-10-02T14:00:00+00:00,28.090832,18.587215,20.916851,75.84747,4.976755,339.93503,4878
15,2023-10-02T15:00:00+00:00,26.923473,18.030273,22.979792,76.88941,5.180482,348.3531,4878
16,2023-10-02T16:00:00+00:00,24.353577,18.018606,26.036139,69.61659,3.2159734,351.46014,4878
17,2023-10-02T17:00:00+00:00,31.637842,19.572687,25.804033,63.039387,2.2882886,376.50864,4878
18,2023-10-02T18:00:00+00:00,34.745632,22.20421,32.134983,46.621624,1.8408173,410.14417,4878
19,2023-10-02T19:00:00+00:00,34.660152,23.927092,28.657812,36.842945,1.7935236,376.59506,4878
20,2023-10-02T20:00:00+00:00,30.69561,20.544811,24.300041,32.76211,1.6752893,370.47113,4878
21,2023-10-02T21:00:00+00:00,31.439537,21.981812,19.779808,28.749672,1.6989361,368.80807,4878
22,2023-10-02T22:00:00+00:00,29.238873,19.899632,18.819603,46.424973,1.8953869,364.8185,4878
23,2023-10-02T23:00:00+00:00,30.809221,22.144997,14.140865,57.818382,1.9153959,352.77252,4878
0,2023-10-03T00:00:00+00:00,29.147766,22.566023,10.663072,61.113667,1.8826541,329.32492,4878
1,2023-10-03T01:00:00+00:00,27.809195,19.290312,9.8611555,58.605995,1.7316779,303.89087,4878
2,2023-10-03T02:00:00+00:00,26.14127,16.071589,9.824747,58.42177,2.3155735,280.8519,4878
3,2023-10-03T03:00:00+00:00,24.22123,13.33154,13.817065,61.906506,3.0649972,267.18652,4878
4,2023-10-03T04:00:00+00:00,27.01645,11.160707,10.795728,61.82313,3.3924153,220.57515,4878
5,2023-10-03T05:00:00+00:00,24.41263,9.838938,11.215904,60.68746,3.2123353,182.28899,4878
6,2023-10-03T06:00:00+00:00,21.249296,10.369248,15.365337,55.215546,4.3546605,204.92847,4878
7,2023-10-03T07:00:00+00:00,19.216684,9.386279,21.498646,49.12579,6.1118045,247.81837,4878
8,2023-10-03T08:00:00+00:00,16.400747,7.086233,18.17217,48.220562,6.7957444,269.58353,4878
9,2023-10-03T09:00:00+00:00,11.58513,3.7409923,15.383339,40.33928,6.1991158,307.35788,4878
10,2023-10-03T10:00:00+00:00,5.315629,2.7318065,15.134102,47.702766,6.300979,297.06332,4878
11,2023-10-03T11:00:00+00:00,8.648651,3.097417,12.923928,64.0433,3.7507563,299.26212,4878
12,2023-10-03T12:00:00+00:00,6.854081,2.9150596,10.826802,69.232765,5.4496922,296.43448,4878
13,2023-10-03T13:00:00+00:00,10.056699,4.150402,12.66766,66.527115,4.5656633,273.27048,4878
14,2023-10-03T14:00:00+00:00,11.5615015,5.081109,12.00548,73.75267,2.546585,244.0678,4878
15,2023-10-03T15:00:00+00:00,12.227117,3.855984,10.544288,78.50691,4.5110936,231.45634,4878
16,2023-10-03T16:00:00+00:00,11.398904,3.888482,12.771726,75.57424,4.5129128,246.32106,4878
17,2023-10-03T17:00:00+00:00,11.556453,3.7601926,16.250914,70.06759,4.2018657,278.33884,4878
18,2023-10-03T18:00:00+00:00,11.879159,4.6757174,20.241737,60.521416,6.9612722,297.12704,4878
19,2023-10-03T19:00:00+00:00,13.262939,5.9304523,23.599724,55.188137,2.8012438,295.0349,4878
20,2023-10-03T20:00:00+00:00,12.370166,5.6312957,20.078117,53.76751,7.072231,280.64767,4878
21,2023-10-03T21:00:00+00:00,12.114292,5.4224787,22.13381,47.768482,7.0995154,284.20645,4878
22,2023-10-03T22:00:00+00:00,12.281909,5.687729,20.074368,48.414223,7.1377144,277.98093,4878
23,2023-10-03T23:00:00+00:00,12.73524,5.9674664,20.532753,50.205925,8.192728,291.0505,4878
0,2023-10-04T00:00:00+00:00,12.233921,5.2861094,18.41181,49.491062,6.701157,286.85706,4878
1,2023-10-04T01:00:00+00:00,12.500685,5.4114027,19.375875,41.28925,6.1609173,297.70288,4878
2,2023-10-04T02:00:00+00:00,12.16778,5.904172,23.74382,30.515472,5.025868,256.96057,4878
3,2023-10-04T03:00:00+00:00,13.315751,6.3494854,25.673246,29.915363,5.8989825,283.36478,4878
4,2023-10-04T04:00:00+00:00,15.584522,6.592674,21.86717,26.222382,6.4028425,267.20462,4878
5,2023-10-04T05:00:00+00:00,14.7347765,6.0224614,27.861475,17.105001,6.139089,278.98294,4878
6,2023-10-04T06:00:00+00:00,12.922667,6.6887217,37.487415,7.1610484,5.178663,284.77966,4878
7,2023-10-04T07:00:00+00:00,12.347517,6.933206,40.177544,2.5759826,5.5588317,335.6851,4878
